,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,
,152,Laos,"15,289",,14 ,,"5,418",,"9,857",,"2,066",2,"381,173","51,520","7,398,583 ",Asia,"484528,47019",,,"1,332",
,153,Andorra,"15,046",,130 ,,"14,862",,54,7,"194,370","1,679","193,595","2,500,937","77,409 ",Europe,55950,,,698,
,154,Mali,"14,895",,539 ,,"14,111",,245,,712,26,"384,087","18,352","20,928,569 ",Africa,"1,40538,82954",,,12,
,155,Aruba,"14,662",,146 ,,"13,888",,628,14,"136,651","1,361","177,885","1,657,906","107,295 ",North America,77351,,,"5,853",
,156,Lesotho,"14,395",,403 ,,"6,830",,"7,162",,"6,658",186,"146,630","67,820","2,162,061 ",Africa,"1505,36515",,,"3,313",
,157,Burkina Faso,"13,777",,171 ,,"13,535",,71,,639,8,"211,719","9,816","21,569,463 ",Africa,"1,566126,137102",,,3,
,158,Congo,"13,588",,183 ,,"12,421",,984,,"2,394",32,"188,207","33,158","5,676,037 ",Africa,"41831,01730",,,173,
,159,Burundi,"12,585",,38 ,,773,,"11,774",,"1,023",3,"345,742","28,104","12,302,190 ",Africa,"978323,74236",,,957,
,160,Hong Kong,"12,114",,212 ,,"11,798",,104,,"1,601",28,"23,570,776","3,114,558","7,567,937 ",Asia,"62535,6980",,,14,
,161,Djibouti,"11,757",,157 ,,"11,554",,46,,"11,702",156,"207,114","206,137","1,004,742 ",Africa,"856,4005",,,46,
,162,Nicaragua,"11,735",,200 ,,"4,225",,"7,310",,"1,747",30,,,"6,716,440 ",North America,"57233,582",,,"1,088",
,163,South Sudan,"11,446",,120 ,,"10,948",,378,,"1,009",11,"212,924","18,765","11,346,729 ",Africa,"99194,55653",,,33,
,164,CAR,"11,296",,100 ,,"6,859",,"4,337",2,"2,292",20,"60,228","12,223","4,927,564 ",Africa,"43649,27682",,,880,
,165,Iceland,"10,856",,33 ,,"10,003",,820,10,"31,574",96,"980,362","2,851,323","343,827 ",Europe,"3210,4190",,,"2,385",
,166,Mauritius,"10,676",,31 ,,"1,854",,"8,791",,"8,378",24,"358,675","281,483","1,274,232 ",Africa,"11941,1044",,,"6,899",
,167,Channel Islands,"10,649",,95 ,,"10,147",,407,,"60,598",541,"829,028","4,717,570","175,732 ",Europe,"171,8500",,,"2,316",
,168,Gambia,"9,715",,322 ,,"9,315",,78,3,"3,893",129,"101,817","40,799","2,495,567 ",Africa,"2577,75025",,,31,
